,Sentiments_Abb,file_loc
0,alarmed,/project/Data/Video_train/CDC - Tips From Former Smokers - Becky H. - Not What I Pictured-KaxwXegbgug.mp4
1,active,/project/Data/Video_train/HILARIOUS! THIS GIRL WILL SAY ANYTHING TO GO BACK TO THE PHILIPPINES.-_wZSB0b9OCA.mp4
2,inspired,/project/Data/Video_train/Leap Year-RM2JAlPRYKE.mp4
3,amused,/project/Data/Video_train/Real men of genius-7ZvOqYVs2ao.mp4
4,inspired,/project/Data/Video_train/Isopure — I AM PURE 2016 Commercial — Team Video-e3_OV5oODj8.mp4
5,active,/project/Data/Video_train/Introducing the Lily Camera Drone-4vGcH0Bk3hg.mp4
6,active,/project/Data/Video_train/Reebok Z Jet Running Shoes-z1rCMzkbhmc.mp4
7,alert,/project/Data/Video_train/Portal 2 TV Spot-APAcU3YBhYc.mp4
8,amused,/project/Data/Video_train/Best radio commercial-xhH2r3mKFeI.mp4
9,calm,/project/Data/Video_train/HERSHEY'S Snowflake-xRtVNIqwUS4.mp4
10,alert,/project/Data/Video_train/Bournvita Badam Booster - Tayyari Har Exam Ki-pTdXVmgC3us.mp4
11,amused,/project/Data/Video_train/Sour Patch Kids Pigeon-GINmvzOpfvc.mp4
12,active,/project/Data/Video_train/Land. It's The Reason We Cruise.-dhwKGg4mhiY.mp4
13,alert,/project/Data/Video_train/Gravity _ Cat® Trials-mVPku-xItv8.mp4
14,manly,/project/Data/Video_train/#CareMakesAManStronger Commercial 2016 _ Dove Men+Care-8eA24a6ohjs.mp4
15,amazed,/project/Data/Video_train/Pokémon Blue Launch Trailer Available Now-8iHEQxJXq9I.mp4
16,calm,/project/Data/Video_train/Sparsh Baby Bar Ad - India-_UU29bZjgz4.mp4
17,amused,/project/Data/Video_train/Birthday Chips Ahoy Commerical-fKTTV-E-aLs.mp4
18,educated,/project/Data/Video_train/Too much Shocking speeding advert shows children getting crushed by car-yGVaArcV9BE.mp4
19,amazed,"/project/Data/Video_train/1-800-GOT-JUNK - Just point, and junk disappears!-teWcTS31dts.mp4"
20,active,/project/Data/Video_train/Hyundai _ EON _ New India's Trendsetter _ Television Commercial (TVC)-DLGac1KQbsU.mp4
21,eager,/project/Data/Video_train/Funny Tui(New Zealand) beer ad #2-dn7u5XvupSU.mp4
22,alert,/project/Data/Video_train/2016 Kansas City Auto Show AutoFest Teaser-h7kAzhDDBOw.mp4
23,amused,/project/Data/Video_train/Vivo Smart Phone - Minions-7IcGYHU8WBo.mp4
24,amazed,/project/Data/Video_train/#AurDikhao - The Latest Amazon.in Ad (2015)-jssITlGSR4w.mp4
25,educated,/project/Data/Video_train/WaxVac Commercial - As Seen on TV-Htbo1yW6qeU.mp4
26,amused,/project/Data/Video_train/2015 MAMA 'STAR COUNTDOWN D-30 by BTS' 151202 EP.1-8hDtBVP3U4Q.mp4
27,amused,/project/Data/Video_train/Chambong Beverage Bongs-WEv1DrfntZ4.mp4
28,alert,/project/Data/Video_train/McDonalds Television Ad - c. 1970's-XKR1ScQUpcA.mp4
29,amazed,/project/Data/Video_train/Doritos - 'Face Licking Good'-GvMbfC-Z8mc.mp4
30,eager,/project/Data/Video_train/McDonald's Happy Meal Ad Cha Cha Slide (long version)-0eN9KP6lOZs.mp4
31,cheerful,/project/Data/Video_train/Plato's Closets of Atlanta - 14 Locations in Atlanta Area-d4gb13p2Vao.mp4
32,amazed,/project/Data/Video_train/The Barista Express® _ Make your favorite café coffees at home in less than a minute _ Breville USA-4oxd-x44YYI.mp4
33,amused,/project/Data/Video_train/Quizno's _ 'Toasty Torpedo'-7LQpRQh2KSQ.mp4
34,amused,/project/Data/Video_train/Kmart commercial Joe Boxer Christmas Jingle Bells-XJdi689BqKA.mp4
35,grateful,/project/Data/Video_train/Peak Milk- Mother's Day TVC-AAs2hd9AJoE.mp4
36,eager,/project/Data/Video_train/Brian Wilson SF Giants Taco Bell Commercial (Black Ops)-iLsDZjIH7sE.mp4
37,alarmed,/project/Data/Video_train/Another awful Canadian commercial-uniqmkPeaZ4.mp4
38,inspired,/project/Data/Video_train/Preserve Hope 15-8uO5PAD_CYA.mp4
39,amused,/project/Data/Video_train/Paddy Power - 'Shower'-pkRfPx--R44.mp4
40,cheerful,/project/Data/Video_train/Fiesta Water Park TV Commercial Directed & Produced By MOHSIN RIZVEE .-95QcBNJN984.mp4
41,amazed,/project/Data/Video_train/Miracles From Heaven - Do You Believe (In Theaters Tomorrow)-TF-NuE-U6No.mp4
42,amazed,/project/Data/Video_train/Mazda 2_Noisettes Tv Ad - Don't Upset the Rhythm-xl3uLkAT_C8.mp4
43,amazed,/project/Data/Video_train/Sword of Chaos CG Trailer--5zYYZpuTbU.mp4
44,amused,/project/Data/Video_train/Lego Dimensions Scooby-Doo Trailer - Game-Play & Cartoon Short-YY5KxPI6ApI.mp4
45,amazed,/project/Data/Video_train/BMC Software Digital Enterprise Management (DEM)-WGQdXUw2uSU.mp4
46,alarmed,/project/Data/Video_train/Fifth Harmony Worth It Carpool Karaoke _ @SummerBreak 3-MLk_dCtwJsY.mp4
47,amazed,/project/Data/Video_train/SolarReserve - The Future is Here-d0uJxHWaq0k.mp4
48,amazed,/project/Data/Video_train/The Purge - Election Year - In Theaters July 1 (TV Spot 1) (HD)-apN1ptgguzg.mp4
49,cheerful,/project/Data/Video_train/Disney's Frozen Fever Trailer-bQRLVxZHKPs.mp4
50,amused,/project/Data/Video_train/Is this Funny or Cute-5NYMRt59d78.mp4
