VideoID,Video_Sentiments_Score,Sentiments_List_ID,Sentiments_Abb
KONL05sae4E,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
1KkVdbUr250,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
g7xSwrdkOMM,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
LL0s6qOIGr8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
4jpmWTqKeW0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
e01a4-ClcTs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
PaXPMCoC6zA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
t5UjmHOl4pU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
D_Uhig7L22c,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
qjKMAolOf6E,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
ZyGL6B7OH5A,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
qLY8arYdr_k,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
xkt8L0NtSjA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
CupTwyj3JrI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
bBLd07rz5mU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
onkxJLj0G7g,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
pc9gcKjvzkE,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
o3PI6HFK3Hk,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
JSd8CqBEbcY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
TeUcij3L9No,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
bsdxZOsqG6U,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
gcbLmoYWMiU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
9gspElv1yvc,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
vsrjiL1gV6I,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
68O0z6lssfE,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
KmmGClZb8Mg,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
wY7Gvq0P4hc,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
Fr6FklMc6B0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
qRvAXsaHNkY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
FVuNTiqHys0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
fvc2to0bQLc,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
62Pitv-cm3s,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
C0wsUlzMBro,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
qi6n_-wB154,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
SPCR1GBnSy8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
NwM0YG_uTS8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
JOJ01KXTw-A,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
Jg5--STf-iE,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
lN2fuKPDzHA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
e-r7gp51KQU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
4tA8wtLaui4,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
8uK-mCxVl84,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
qnCnAwws_AQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
pQO2VtV1PNg,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
4b9Ji7DvsjU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
ipdtwLlWNZQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
1De5_o_DXH0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
wYCNYifjjgs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
tcYc33ughfQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
4YHfAIdmIXw,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
9HppFNyqVOI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
VK4xZiHDXPI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
56b09ZyLaWk,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
HgwvNhQ_YzQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
oLUPlTA9gsY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
o50_ZlMnjqY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
yD94CV7kLHE,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
PewCSYS6a6s,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
fNgkNVKeKPs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
XCibiAnJ6Ts,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
1Fki1SJ17kQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
0jBFyck8J5A,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
cyVzjoj96vs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
